emp_no,first_name,last_name,title,to_date
10353,Phule,Hammerschmidt,Senior Staff,1989-08-24
10355,Satyanarayana,Cochrane,Staff,1996-01-26
10356,Vasilis,Standera,Senior Staff,1995-06-26
10358,Qunsheng,Tagansky,Technique Leader,1991-02-19
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14
10367,Hyuckchul,Gini,Senior Staff,2000-06-23
10372,Anneli,Frijda,Technique Leader,1985-07-30
10374,Willard,Rosin,Staff,1993-12-08
10377,Marl,Grospietsch,Senior Engineer,1996-08-24
10382,Shirish,Dredge,Engineer,1998-07-01
10387,Parto,Wrigley,Senior Staff,1999-01-07
10388,Hironoby,Kaiser,Staff,1999-05-28
10389,Make,Peir,Technique Leader,1999-05-13
10395,Takahiro,Deverell,Engineer,1998-08-10
10396,Sibyl,Rahier,Senior Engineer,1986-01-11
10397,Irena,Reutenauer,Technique Leader,1993-05-21
10402,Volkmar,Ebeling,Technique Leader,1987-01-02
10404,Prodip,Rosti,Senior Engineer,1996-08-28
10407,Ulf,Siepmann,Senior Staff,1999-10-30
10413,Danel,Impagliazzo,Senior Staff,1997-12-26
10414,Yinlin,Alpin,Senior Engineer,1990-05-30
10418,Candida,Porotnikoff,Staff,1996-10-04
10422,Greger,Rubsam,Engineer,1995-01-03
10426,Arunas,Luce,Technique Leader,1985-07-06
10429,Martien,Improta,Senior Engineer,1988-09-23
10432,Hisao,Tiemann,Senior Staff,1996-08-12
10433,Reuven,Dengi,Engineer,1999-11-27
10442,Volkmar,Unno,Senior Staff,1999-02-12
10443,Shichao,Litvinov,Senior Engineer,1989-08-01
10451,Bodh,Ranta,Senior Engineer,1998-03-12
10453,Tsvetan,Matzel,Senior Staff,1993-04-02
10463,Ung,Zaiane,Staff,1994-02-17
10466,Jiakeng,Himler,Staff,1997-08-22
10477,Guoxiang,Trogemann,Senior Engineer,2002-05-26
10486,Amstein,Kossowski,Senior Engineer,1996-10-07
10494,Yakkov,Servieres,Senior Engineer,2000-12-17
10497,Pramod,Rabehasaina,Senior Engineer,1999-01-22
10499,Maik,Luft,Senior Staff,2001-07-31
10503,Dannz,Pell,Engineer,1997-03-13
10504,Xiong,Varker,Staff,1999-10-19
10509,Abdelwaheb,Riesenhuber,Senior Staff,1997-10-06
10512,Udi,Gihr,Senior Staff,1998-11-28
10517,Tiina,Speek,Senior Staff,1990-12-25
10519,Yonghoan,Alencar,Senior Staff,2000-12-05
10522,Marke,Cesareni,Senior Staff,1995-12-12
10529,Ymte,Yetto,Assistant Engineer,1997-07-04
10531,Oguz,Gimbel,Staff,1995-03-16
10538,Przemyslawa,Falby,Senior Engineer,1987-07-23
10541,Godehard,Eiter,Staff,1986-02-28
10542,Yannis,Couchot,Senior Engineer,1992-02-07
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04
10552,Kazuhito,Shiratori,Senior Engineer,1998-08-31
10564,Jianhao,Thisen,Senior Engineer,2000-11-22
10568,Gao,Poulakidas,Staff,1995-07-08
10575,Theirry,Yeung,Senior Engineer,1988-10-04
10586,Kirk,Vuskovic,Senior Engineer,2000-02-04
10591,Hidde,Hettesheimer,Staff,1987-06-18
10593,Falguni,Kenevan,Senior Engineer,1999-09-12
10596,Sanjit,Coors,Senior Staff,2001-05-23
10603,Wayne,Restivo,Staff,1995-07-20
10608,Adhemar,Talmor,Senior Engineer,1986-05-25
10610,Irena,Roccetti,Engineer,1997-03-30
10614,Gila,Ozeri,Senior Engineer,1998-03-03
10615,Keung,Delgrande,Senior Staff,2002-03-10
10617,Hidekazu,Angel,Senior Staff,1991-10-30
10623,Aleksander,Danlos,Senior Engineer,1999-01-15
10624,Sham,Gyorkos,Technique Leader,1990-05-07
10628,Krisda,Krogh,Senior Engineer,2001-03-14
10629,Lalit,Francisci,Staff,1999-10-20
10630,Bezalel,Katzenelson,Engineer,1997-01-13
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18
10634,Nahid,Chepyzhov,Senior Engineer,2000-11-10
10636,Saeko,Porotnikoff,Staff,1996-09-25
10637,Heejo,Frolund,Senior Staff,1998-07-11
10639,Pramod,Erol,Senior Engineer,1999-10-26
10641,Guozhong,Zucker,Engineer,1999-03-21
10642,Hirochika,Narlikar,Engineer,1998-10-05
10653,Otmar,Feinberg,Senior Engineer,1987-04-30
10667,Makato,Cusworth,Senior Staff,1999-07-28
10671,Parviz,Rebaine,Senior Staff,2001-09-13
10672,Bluma,Zeilberger,Senior Engineer,1991-09-29
10676,Valeri,Danley,Engineer,1999-09-04
10683,Guiseppe,Stranks,Senior Engineer,1997-06-23
10693,Berhard,Daescu,Senior Staff,1991-01-08
10694,Rildo,Straney,Senior Staff,1993-01-25
10696,Unal,Fendler,Technique Leader,1991-09-09
10702,Bader,Szemeredi,Senior Engineer,1991-01-14
10712,Uma,Koprowski,Senior Engineer,2001-08-18
10718,Adib,Rullman,Senior Engineer,1997-07-21
10726,Zita,Minakawa,Senior Engineer,2001-02-24
10731,Fumitaka,Peak,Senior Staff,1994-02-20
10734,Sachar,Erdi,Engineer,1995-12-19
10741,Sven,Huttel,Senior Staff,1997-01-06
10742,Shim,Wiegley,Technique Leader,1997-04-03
10745,Poorav,Ranze,Senior Engineer,1997-01-22
10747,Falguni,Khalid,Senior Engineer,1990-10-08
10749,King,Brendel,Senior Engineer,1990-09-26
10750,Roddy,Demeyer,Technique Leader,1998-11-06
10751,Jordanka,Ushiama,Engineer,1999-12-14
10764,Yunming,Beetstra,Senior Engineer,1998-11-27
10767,Monique,Doering,Staff,1997-07-15
10768,Ishfaq,Candan,Senior Engineer,1990-07-04
10777,Mizuhito,Kemmerer,Senior Engineer,1996-03-16
10778,Selwyn,Merey,Senior Staff,1986-07-04
10780,Goncalo,Staudhammer,Engineer,1994-08-01
10782,Kish,Perna,Staff,1997-07-06
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31
10795,Supot,Naudin,Senior Staff,1999-05-03
10801,Uinam,Zschoche,Engineer,1998-04-07
10803,Katsuyuki,Velasco,Senior Engineer,1997-04-20
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07
10811,Ashish,Fortenbacher,Engineer,1997-07-08
10813,Shalesh,Shumilov,Senior Staff,1990-04-27
10814,Nidapan,Dymetman,Senior Staff,1998-07-17
10826,Arnd,Anandan,Senior Engineer,1993-01-22
10827,Willard,Danley,Staff,1996-11-07
10829,Alper,Narahara,Staff,1993-07-21
10830,Fen,Fiebach,Senior Staff,1997-08-23
10831,Toong,Driscoll,Technique Leader,1998-02-22
10833,Krisda,Gecseg,Technique Leader,1998-12-23
10834,Huiqun,Rajcani,Engineer,1999-11-24
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22
10836,Jianhua,Leivant,Senior Staff,1987-08-10
10844,Dipayan,Koprowski,Engineer,1997-04-25
10846,Tokuyasu,Serre,Senior Engineer,1995-01-17
10847,Theirry,Danley,Senior Staff,1992-07-24
10848,Fen,Bratsberg,Senior Engineer,1992-04-20
10849,Makato,Mayerwieser,Engineer,2001-06-24
10854,Jagoda,Nannarelli,Engineer,1998-07-13
10858,Kenroku,Gonthier,Senior Engineer,2002-01-01
10867,Billur,Gyorkos,Engineer,1997-03-23
10871,Aram,Gilg,Staff,1999-06-16
10872,Karoline,Speel,Senior Staff,1996-09-05
10873,Sukumar,Wegerle,Staff,1994-03-23
10876,Vincent,Papastamatiou,Staff,1995-01-29
10878,Lakshmi,Deville,Staff,1997-04-25
10879,Muzhong,Chleq,Senior Engineer,1985-08-15
10882,Fun,Heuser,Engineer,1999-04-29
10883,Shimshon,Champarnaud,Engineer,1996-12-28
10885,Rayond,Cronau,Senior Staff,1991-08-19
10887,Lunjin,DeMori,Senior Engineer,1989-03-17
10895,Vishwani,Petersohn,Staff,1986-04-26
10900,Ferdinand,Prenel,Senior Engineer,1995-09-07
10906,Munehiro,Carrere,Staff,1998-10-18
10909,Georgi,Atchley,Senior Engineer,2000-12-26
10912,Oscal,Fasbender,Senior Staff,1991-04-23
10913,Narain,Thummel,Staff,1998-10-25
10918,Susumu,Reghbati,Staff,1990-01-29
10920,Ronghao,Narahara,Senior Staff,1998-02-23
10921,Mara,Bahi,Senior Engineer,1995-07-27
10922,Kyoichi,Wossner,Staff,1996-02-02
10924,Hironoby,Atchley,Senior Staff,1997-08-14
10926,Leni,Eppinger,Senior Engineer,1995-04-30
10927,Gal,Scallan,Senior Staff,1993-09-12
10930,Arch,Minakawa,Senior Engineer,1998-11-22
10932,Avishai,Picci,Senior Engineer,1999-09-09
10936,Mountaz,Schicker,Senior Staff,1996-05-08
10940,Aleksander,Fioravanti,Engineer,1997-06-30
10942,Toshimitsu,Larfeldt,Engineer,1996-01-21
10943,Berna,Skafidas,Senior Engineer,1999-05-22
10944,Remko,Zyda,Senior Engineer,1995-09-07
10947,Gor,Usery,Senior Staff,2001-11-15
10948,Shigehito,Brodie,Senior Engineer,1996-09-30
10949,Shigeichiro,Wroclawski,Senior Staff,1996-06-28
10956,Arno,Picel,Engineer,1995-12-02
10965,Eckart,Braunschweig,Senior Staff,1986-07-29
10969,Premal,Noriega,Senior Engineer,1994-05-12
10971,Isamu,Vadhan,Technique Leader,1991-07-30
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17
10985,Chiradeep,Furedi,Engineer,1999-02-11
10986,Masako,Schiper,Technique Leader,1985-10-11
10987,Flemming,Baezner,Engineer,1997-05-21
10988,Chinya,Deyuan,Senior Engineer,1985-06-19
10989,Sumali,Candan,Senior Staff,1991-07-20
10990,Shin,Foote,Technique Leader,1990-08-06
10996,Matk,Rahimi,Senior Staff,1996-02-07
11002,Bluma,Ulupinar,Senior Staff,1998-11-21
11004,JoAnna,Decleir,Senior Engineer,1998-01-18
11009,Alper,Axelband,Senior Staff,1993-09-09
11012,Taegyun,Speckmann,Staff,1996-07-06
11019,Leon,Huttel,Senior Engineer,1997-05-24
11021,Srinidhi,Henders,Staff,1998-02-02
11024,Manton,Collavizza,Staff,1995-04-05
11027,Remzi,Cappello,Senior Engineer,1996-05-06
11028,Miyeon,Krider,Senior Engineer,1991-06-18
11031,Ottavia,Walstra,Senior Staff,1993-10-24
11032,Erez,Schaaf,Staff,1994-06-06
11037,Lansing,Maliniak,Senior Engineer,1995-01-28
11038,Jinya,Beidas,Senior Staff,1992-07-15
11042,Gou,Breugel,Senior Engineer,2000-06-21
11048,Jaques,Demke,Senior Staff,1999-05-27
11050,Elvis,Katiyar,Senior Staff,1991-05-06
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26
11056,Palash,Speel,Staff,1997-07-01
11060,Genevieve,Pokrovskii,Staff,1991-05-03
11061,Pintsang,Erni,Senior Staff,2002-02-19
11064,Shawna,Vieri,Senior Engineer,2002-02-27
11066,Shaz,Langford,Senior Staff,1996-04-30
11070,Adib,Raney,Senior Engineer,1991-07-24
11071,Kwan,Sigstam,Senior Engineer,2001-05-23
11075,Karsten,Belinskaya,Senior Engineer,1998-05-06
11077,Hideyuki,Merro,Senior Staff,1998-04-30
11079,Piyush,Garigliano,Senior Engineer,2001-05-26
11081,Barry,Boyle,Senior Staff,1994-06-17
11083,Shimshon,Ducloy,Senior Staff,2000-10-04
11084,Greger,Senzako,Senior Engineer,1999-05-31
11085,Hailing,Thummel,Senior Engineer,1996-02-10
11087,Changho,Jayawardene,Senior Engineer,1998-03-18
11089,Conal,Henders,Senior Staff,1994-08-13
11091,Souichi,Ramsay,Engineer,1999-09-11
11092,Narain,Stamatiou,Staff,1999-04-05
11098,Arnd,Covnot,Engineer,1997-01-08
11100,Berna,Cochrane,Senior Staff,1993-10-13
11106,Aris,Iwayama,Senior Engineer,1997-08-30
11110,Valeska,Birjandi,Staff,1987-11-14
11111,Udi,Zastre,Assistant Engineer,1994-12-25
11112,Boaz,Mukaidono,Staff,1995-04-28
11113,Shahab,Peng,Senior Staff,1991-11-30
11114,Tse,Felcyn,Staff,1993-02-13
11119,Ramzi,Luga,Engineer,1994-06-21
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01
11130,Xinyu,Menhoudj,Senior Staff,1997-02-17
11132,Kristin,Harnett,Senior Engineer,1999-08-30
11133,Nalini,Azulay,Technique Leader,1994-03-06
11134,Sachar,Rajcani,Senior Engineer,2002-05-19
11137,Hugh,Luca,Engineer,1995-03-16
11139,Bogdan,Homond,Senior Staff,1995-05-11
11143,Yongdong,Rosen,Engineer,1996-05-09
11144,Carrsten,Heinisuo,Senior Staff,2002-07-19
11145,Jinxi,Baak,Engineer,1999-04-23
11146,Ishfaq,Masand,Senior Staff,1997-08-21
11147,Ayonca,Nitsch,Engineer,1997-12-04
11148,Zhanqiu,Botman,Senior Staff,1997-02-08
11156,Tomoyuki,Armand,Staff,1995-09-07
11158,Masaki,Hagimont,Senior Engineer,2002-04-20
11162,Kauko,Narlikar,Senior Engineer,1990-03-28
11168,Shmuel,Tetzlaff,Senior Staff,2001-07-15
11170,Minghong,Cannard,Senior Engineer,1990-06-20
11174,Akhilish,Milicia,Engineer,1999-06-07
11177,Chrisa,dAstous,Senior Engineer,1999-09-11
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10
11181,Hausi,Cullers,Engineer,1997-11-03
11185,Aloys,Baezner,Senior Staff,2000-01-26
11186,Kshitij,Stasinski,Senior Engineer,2000-12-09
11189,Dante,Bodoff,Senior Staff,1991-09-07
11192,Apostol,Bahr,Engineer,1998-04-07
11195,Masanao,Lovengreen,Senior Engineer,1991-06-13
11197,Tadahiro,Fordan,Senior Staff,1989-09-12
11201,Jouko,Masaki,Staff,1995-10-31
11203,Sakthirel,Yetto,Senior Staff,1996-01-06
11204,Diederik,Covnot,Technique Leader,1985-09-18
11206,Steen,Sury,Staff,1993-05-07
11207,Saeed,Gips,Engineer,1999-01-31
11208,Saniya,Valtorta,Technique Leader,1994-11-17
11211,Yurij,Rissland,Senior Engineer,1985-09-17
11213,Vugranam,Munoz,Technique Leader,1999-02-04
11217,Kellie,Mawatari,Senior Engineer,1990-03-11
11218,Kirk,Hemaspaandra,Technique Leader,1994-04-06
11221,Alselm,Hammerschmidt,Engineer,1989-08-22
11229,Gretta,Ramamoorthy,Senior Engineer,2000-07-25
11232,Hidefumi,Crelier,Senior Staff,2000-08-01
11233,Sanjit,Waschkowski,Senior Engineer,1998-12-14
11240,Kiam,Condotta,Engineer,1997-01-06
11243,Udi,Desikan,Assistant Engineer,2000-01-20
11249,Randi,Cyre,Engineer,1994-09-22
11251,Bezalel,Chinal,Senior Staff,1993-06-15
11253,Koldo,Pokrovskii,Senior Engineer,2000-05-22
11254,Danel,Rindone,Staff,1998-12-19
11258,Aris,Maccarone,Senior Staff,1998-03-28
11266,Florina,Rohrbach,Senior Engineer,2002-05-12
11267,Shaunak,Zaumen,Senior Engineer,1996-04-09
11268,Aimee,Petersohn,Senior Engineer,1995-10-25
11274,Masanao,Nicolson,Staff,1999-12-13
11275,Hitomi,Eppinger,Senior Engineer,1998-04-25
11288,Domenico,Eastman,Senior Staff,1997-06-03
11289,Chuanti,Cherinka,Senior Engineer,1996-02-23
11290,Visit,Dredge,Engineer,1999-05-13
11291,Gino,Glowinski,Senior Engineer,1985-10-20
11292,Souichi,Sichman,Senior Engineer,1996-02-12
11294,Tru,Segond,Senior Engineer,1999-06-13
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15
11296,Hironobu,Kenevan,Senior Engineer,1994-09-26
11297,Geraldo,Levergood,Engineer,1991-02-16
11300,Lillian,Fontet,Engineer,1992-09-10
11301,Mingzeng,Oxenboll,Senior Staff,1996-05-23
11302,Shem,Senzako,Staff,1991-07-01
11315,Neven,Meriste,Staff,2000-01-18
11317,Shigeaki,Hagimont,Senior Staff,2000-09-07
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01
11320,Atilio,McAlpine,Senior Staff,1998-04-06
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08
11324,Kauko,Billingsley,Senior Engineer,1985-08-29
11325,Samphel,Rossi,Engineer,1999-01-10
11326,Munenori,Plesums,Senior Engineer,1999-02-19
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28
11339,Flemming,Massonet,Senior Engineer,1989-12-19
11340,Aris,Bala,Senior Engineer,1998-09-11
11343,Susanne,Erez,Senior Engineer,1995-02-27
11347,Anneli,Jonsson,Senior Engineer,1992-04-19
11349,Yurii,Hammerschmidt,Engineer,1999-06-28
11360,Fen,Schach,Senior Staff,1997-01-12
11365,Toshimi,Shinomoto,Engineer,1997-12-18
11372,Susanta,Vilarrasa,Senior Staff,1993-05-14
11373,Yongmao,Keohane,Senior Staff,2000-07-18
11376,Valery,Suomi,Senior Staff,1994-03-14
11380,Kenroku,Pelc,Senior Engineer,2001-04-18
11385,Shiv,Ullian,Engineer,1999-08-08
11386,Alselm,Assaf,Senior Engineer,1993-11-29
11387,Jordanka,Kalloufi,Engineer,1997-05-11
11393,Junsik,Junot,Senior Engineer,1992-04-30
11396,Anneke,Servieres,Engineer,1997-02-04
11398,Oscar,Peir,Senior Staff,2001-09-07
11401,Huan,Merey,Staff,1995-04-15
11404,Bedrich,Borovoy,Technique Leader,1990-09-25
11406,Eberhardt,Gini,Senior Staff,1996-03-13
11410,Gro,Vendrig,Engineer,1999-10-25
11414,Eishiro,Pearson,Senior Staff,1996-01-03
11415,Sanjiv,Anido,Engineer,1996-12-07
11417,Anneli,Cyne,Technique Leader,1992-12-21
11418,Satosi,Cooley,Senior Staff,1991-12-30
11420,Tsutomu,Lalonde,Senior Staff,1992-01-31
11421,Josyula,Msuda,Senior Engineer,1995-09-02
11423,Guangming,Kopetz,Staff,1998-10-13
11425,Renee,Crelier,Senior Engineer,1990-08-27
11428,Remco,Reinhart,Engineer,1994-07-31
11431,Youngkon,Picht,Senior Staff,1991-09-16
11441,Marlo,Aingworth,Senior Staff,1987-03-27
11446,Naftali,Narahara,Senior Engineer,1999-04-06
11449,Kotesh,Asser,Senior Engineer,2000-02-03
11451,Eben,Rajaraman,Senior Engineer,1990-05-20
11452,Shigehito,Luby,Senior Staff,2001-08-26
11459,Duke,Suomi,Senior Staff,1992-05-02
11460,Mana,Maraist,Senior Engineer,2001-05-28
11461,Kish,Cronau,Senior Engineer,1992-08-18
11468,Navin,Maksimenko,Staff,1996-03-19
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08
11474,Gennady,Akazan,Engineer,1993-12-29
11476,Manton,Yoshizawa,Staff,1994-01-15
11477,Fox,Narahari,Engineer,1996-07-28
11479,Shridhar,Pleszkun,Staff,1999-02-10
11501,Karsten,Ranum,Senior Staff,1999-10-24
11503,Nathan,Picht,Senior Engineer,2002-04-09
11506,Rance,Picel,Staff,1996-04-08
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11
11513,Otmar,Mahnke,Senior Staff,1998-08-25
11515,Ulf,Basawa,Staff,1998-09-21
11518,Jinxi,Oxman,Senior Staff,1999-09-22
11519,Halsur,Chinen,Senior Staff,1997-06-12
11521,Eldridge,Eastman,Staff,1995-10-17
11523,Yuguang,Pezzoli,Engineer,1998-12-23
11524,Xiadong,Standera,Senior Engineer,1996-07-05
11526,Tonny,Impagliazzo,Senior Staff,1998-02-22
11527,Alagu,Boyle,Staff,1999-01-28
11528,Zito,Dolinsky,Technique Leader,1987-06-15
11531,Radhika,Motley,Technique Leader,1992-11-04
11533,Vitaly,Lorch,Technique Leader,1991-08-20
11537,DAIDA,Pehl,Senior Staff,1986-07-06
11540,Chanjung,Portugali,Senior Engineer,2002-07-02
11554,Subhash,Taubenfeld,Staff,1998-07-15
11555,Kotesh,Perfilyeva,Senior Staff,1991-10-14
11562,Rimli,Alencar,Engineer,1988-06-30
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03
11568,Martins,Fujisaki,Senior Engineer,2000-03-13
11573,Pranas,Hutton,Senior Engineer,1995-02-04
11575,Godehard,Plotkin,Engineer,2000-05-31
11577,Mayumi,Deyuan,Senior Engineer,1998-09-23
11578,Edwin,Rosti,Senior Engineer,1991-11-22
11581,Patricio,Rosenbaum,Senior Engineer,2001-11-13
11587,Shem,Zambonelli,Senior Engineer,1989-04-24
11588,Kaijung,Panangaden,Senior Staff,1994-12-24
11589,Gina,Plessier,Senior Engineer,2001-05-06
11595,Takanari,Kamber,Senior Staff,1992-09-08
11596,Yannik,Gunderson,Staff,1995-11-23
11597,Yongdong,Talmon,Senior Engineer,1990-02-01
11602,Somnath,Malabarba,Senior Staff,2001-06-21
11603,Herb,Swen,Senior Staff,1994-04-13
11606,Perry,Pepe,Senior Staff,1999-09-27
11607,Tomokazu,Foong,Engineer,1995-04-19
11615,Shem,Isaak,Senior Staff,2000-08-28
11616,Zhilian,Brendel,Engineer,1998-12-30
11624,Adil,Gammage,Senior Engineer,1996-07-15
11628,Fan,Malinowski,Senior Engineer,1997-10-23
11636,Fumitaka,Shiratori,Engineer,1992-11-16
11640,Valeri,Coorg,Senior Engineer,1988-09-26
11641,Chikako,Rothenberg,Senior Engineer,1991-06-18
11644,Sanjit,Zaiane,Assistant Engineer,1995-08-09
11646,Lobel,Rubsam,Engineer,1999-12-15
11647,Magy,Nitsche,Senior Engineer,1993-05-11
11649,Shen,Bernardinello,Technique Leader,1992-12-11
11660,Gill,Stenning,Senior Staff,1994-11-22
11664,Oksana,Brizzi,Senior Staff,1990-09-07
11667,Kristian,Marchegay,Senior Staff,1996-09-07
11673,Henk,Felder,Technique Leader,1989-06-10
11676,Valeri,Ferriere,Engineer,1998-07-15
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28
11684,Oksana,Gide,Senior Staff,1995-02-21
11686,Nadjib,Srimani,Senior Staff,2000-04-20
11690,Domenick,Raczkowsky,Staff,1997-09-23
11693,Hideo,Coorg,Senior Engineer,1991-08-24
11696,Dante,Rothe,Senior Staff,1994-10-23
11705,Arve,Hofmeyr,Senior Staff,1990-10-30
11708,Chenye,Angot,Staff,1992-09-18
11713,Danel,Heusch,Senior Engineer,2000-10-03
